原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 1月8日（周日），北京712.67万，广州679.3万，上海661万，深圳369.23万，武汉224.09万，南京189.9万，成都151.46万，西安134.5万。还有长沙52.9万，郑州51.2万，苏州41万。,2017/1/9,1,8,周日,661,369.23,712.67,52.9,224.09,679.3,41,51.2,189.9,151.46,134.5, 
#地铁客流排行榜# 1月7日（周六），北京729.7万，广州710.3万，上海665.5万，深圳383.66万，武汉220.45万，南京197.3万，成都161.47万，西安136.8万。还有郑州51万，长沙49万，苏州37万。,2017/1/8,1,7,周六,665.5,383.66,729.7,49,220.45,710.3,37,51,197.3,161.47,136.8, 
#地铁客流排行榜# 1月6日（周五），北京1179.3万，上海1067.3万，广州781万，深圳445.86万，南京252.6万，重庆240.4万，武汉238.02万，成都210.68万，西安147.7万。还有长沙57.6万，郑州55.6万，苏州44.7万。,2017/1/7,1,6,周五,1067.3,445.86,1179.3,57.6,238.02,781,44.7,55.6,252.6,210.68,147.7,240.4
#地铁客流排行榜# 1月5日（周四），北京1132.6万，上海991万，广州735.8万，深圳418.13万，南京229万，武汉220.11万，成都194.86万，西安147.2万。还有长沙50.8万，郑州52万，苏州39.5万。,2017/1/6,1,5,周四,991,418.13,1132.6,50.8,220.11,735.8,39.5,52,229,194.86,147.2, 
#地铁客流排行榜# 1月4日（周三），北京1141.02万，上海1015.3万，广州722.3万，深圳421.95万，南京236.4万，武汉222.73万，重庆217万，成都193..8万，西安142.1万。还有长沙55.5万，郑州59.5万，苏州41.7万。,2017/1/5,1,4,周三,1015.3,421.95,1141.02,55.5,222.73,722.3,41.7,59.5,236.4,8,142.1,217
#地铁客流排行榜# 1月3日（周二），北京1132.3万，上海1014万，广州729万，深圳421万，南京242.5万，武汉240.77万，成都193..69万，重庆188.5万，西安148.4万。还有长沙56.3万，郑州50.9万，苏州43.6。,2017/1/5,1,3,周二,1014,421,1132.3,56.3,240.77,729, ,50.9,242.5,69,148.4,188.5
发一个两年多前的 #地铁客流排行榜# 2014年8月12日（周二），北京地铁线网客运量为1106.93万人次，上海地铁客运量为860.5万人次，广州地铁客运量为640.4万人次，深圳地铁线网客运量为302.6万人次，南京地铁客运量为149.1万人次。,2017/1/4,8,12,周二,860.5,302.6,1106.93, , ,640.4, , ,149.1, , , 
#地铁客流排行榜# 1月3日（周二），北京1132.3万，上海1014万，广州729万，深圳421万，南京242.5万，武汉240.77万，成都193..69万，西安148.4万。还有长沙56.3万，郑州50.9万。,2017/1/4,1,3,周二,1014,421,1132.3,56.3,240.77,729, ,50.9,242.5,69,148.4, 
#地铁客流排行榜# 1月2日（周一，假），北京723.6万，广州701.3万，上海675.5万，，深圳377.54万，武汉247.32万，南京217.5万，重庆204.8万，成都167.71万，西安144.7万。还有长沙65.6万，郑州53.8万，苏州47.4万。,2017/1/3,1,2,周一，假,675.5,377.54,723.6,65.6,247.32,701.3,47.4,53.8,217.5,167.71,144.7,204.8
#地铁客流排行榜# 1月1日（周日），广州873.8万，上海768.7万，北京696.8万（16号线-4.2），深圳483.3万（1-109.2，2-45.1，3-91.5，4-65.4，5-75.9，7-31.2，9-25.8，11-38.8），武汉284.16万，南京247.3万，重庆226.2万，成都176.11万，西安148.6万。还有杭州94万，长沙86.3万，苏州68.5万，郑州53.2... 展开全文 c  ,2017/1/2,1,1,周日,768.7,483.3,696.8,86.3,284.16,873.8,68.5, ,247.3,176.11,148.6,226.2
#地铁客流排行榜# 12月31日（周六），广州862.6万，上海851.9万，北京794.26万（未含16号线），深圳475.83万（1-111.9，2-48.6，3-86.2，4-62.13，5-73.9，7-32.3，9-26.6，11-34.2），武汉302.41万，南京276.9万，重庆219.4万，成都189.39万，西安165.1万。还有杭州97万，长沙83.5万，苏州63.54万，郑... 展开全文 c  ,2017/1/1,12,31,周六,851.9,475.83,794.26,83.5,302.41,862.6,63.54, ,276.9,189.39,165.1,219.4
#地铁客流排行榜# 12月31日（周六），广州862.6万，上海851.9万，北京794.26万（未含16号线），深圳475.83万（1-111.9，2-48.6，3-86.2，4-62.13，5-73.9，7-32.3，9-26.6，11-34.2），武汉302.41万，南京276.9万，重庆219.4万，成都189.39万，西安165.1万。还有长沙83.5万，苏州63.54万，郑州61万，青... 展开全文 c  ,2017/1/1,12,31,周六,851.9,475.83,794.26,83.5,302.41,862.6,63.54,61,276.9,189.39,165.1,219.4
#地铁客流排行榜# 12月30日（周五），北京1214.69万，上海1113.5万，广州831.8万，深圳471.82万，南京290.6万，武汉282.49万，重庆261.8万，成都225.33万，西安166.9万。还有长沙72万，郑州62.8万，苏州53万。深圳武汉重庆客流创历史新高。,2016/12/31,12,30,周五,1113.5,471.82,1214.69,72,282.49,831.8,53,62.8,290.6,225.33,166.9,261.8
#地铁客流排行榜# 12月29日（周四），北京1161.76万，上海1051.2万，广州750.4万，深圳428.14万，南京248.2万，武汉247万，重庆225.5万，成都194.48万，西安141万。还有长沙57.2万，郑州50.6万，苏州44.9万。期待今天2016年最后一个工作日客流新高的到来。,2016/12/30,12,29,周四,1051.2,428.14,1161.76,57.2,247,750.4,44.9,50.6,248.2,194.48,141,225.5
#地铁客流排行榜# 12月28日（周三），北京1155.84万，上海1043.6万，广州724.3万，深圳428.02万，南京251.4万，武汉242.77万，重庆221.6万，成都192.95万，西安141.8万。还有长沙55.5万，郑州48.9万，苏州44.08万。,2016/12/29,12,28,周三,1043.6,428.02,1155.84,55.5,242.77,724.3,44.08,48.9,251.4,192.95,141.8,221.6
#地铁客流排行榜# 12月27日（周二），北京1160.9万，上海1034.6万，广州709.8万，深圳429.28万，南京242.2万，重庆214.6万，武汉204.91万，成都193.43万，西安140.8万。还有长沙57万，郑州50.2万，苏州43.6万。,2016/12/28,12,27,周二,1034.6,429.28,1160.9,57,204.91,709.8,43.6,50.2,242.2,193.43,140.8,214.6
#地铁客流排行榜# 12月26日（周一），北京1154.45万，上海1005.1万，广州718.9万，深圳433.88万，南京235.3万，武汉199.15万，成都194.85万，西安141.2万。还有长沙53.5，郑州47.7万，苏州41.5万。还有合肥第一天6.8万。,2016/12/27,12,26,周一,1005.1,433.88,1154.45,47.7,199.15,718.9,41.5,47.7,235.3,194.85,141.2, 
#地铁客流排行榜# 12月25日（周日），北京734.57万，广州718.3万，上海695万，深圳416.24万，南京206.6万，武汉194.23万，重庆178.4万，成都165.49万，西安144.5万。还有长沙61.5，郑州53.9万，苏州44.08万。,2016/12/26,12,25,周日,695,416.24,734.57,53.9,194.23,718.3,44.08,53.9,206.6,165.49,144.5,178.4
#地铁客流排行榜# 12月24日（周六），上海859.7万，北京849.7万，广州732.9万，深圳423.11万，南京272.6万，武汉263.1万，成都179.8万，重庆170万，西安154.2万。还有长沙70.4，郑州64.2万，苏州61.5万。武汉地铁客运量创历史新高。,2016/12/25,12,24,周六,859.7,423.11,849.7,64.2,263.1,732.9,61.5,64.2,272.6,179.8,154.2,170
#地铁客流排行榜# 12月24日（周六），上海859.7万，北京849.7万，广州732.9万，深圳423.11万，南京272.6万，武汉263.1万，成都179.8万，重庆170万，西安154.2万。还有长沙70.4，郑州64.2万，苏州61.5万。,2016/12/25,12,24,周六,859.7,423.11,849.7,64.2,263.1,732.9,61.5,64.2,272.6,179.8,154.2,170
#地铁客流排行榜# 12月23日（周五），北京1230.39万，上海1119.5万，广州780万，深圳464.03万，南京280.8万，武汉233.54万，成都212.99万，重庆212.4万，西安160.7万。还有长沙64.8，郑州59.6万，苏州50.6万。,2016/12/24,12,23,周五,1119.5,464.03,1230.39,59.6,233.54,780,50.6,59.6,280.8,212.99,160.7,212.4
#地铁客流排行榜# 12月22日（周四），北京1151.56万，上海1040.8万，广州713.2万，深圳429.56万，南京241.5万，武汉204.6万，重庆191.5万，成都189.2万，西安143.7万。还有长沙56.3，郑州48.4万，苏州42.6万。,2016/12/23,12,22,周四,1040.8,429.56,1151.56,48.4,204.6,713.2,42.6,48.4,241.5,189.2,143.7,191.5
#地铁客流排行榜# 12月21日（周三），北京1120万，上海1024万，广州715.8万，深圳423万，南京222.6万，武汉192.27万，成都190.97万，西安144.2万。还有长沙49万，郑州45.3万，苏州41.3万。,2016/12/22,12,21,周三,1024,423,1120,49,192.27,715.8,41.3,45.3,222.6,190.97,144.2, 
#地铁客流排行榜# 12月20日（周二），北京1142万，上海1028.2万，广州710万，深圳425.78万，南京238.6万，武汉191.32万，成都189.28万，西安136.2万。还有长沙49.9万，郑州46.4万，苏州42.5万。,2016/12/21,12,20,周二,1028.2,425.78,1142,49.9,191.32,710,42.5,46.4,238.6,189.28,136.2, 
#地铁客流排行榜# 12月19日（周一），北京1164.85万，上海1049.4万，广州717万，深圳433.2万，南京243.6万，武汉202.34万，重庆194.2万，成都191.82万，西安148.3万。还有长沙49.3万，郑州48.4万，苏州43.6万。,2016/12/20,12,19,周一,1049.4,433.2,1164.85,49.3,202.34,717,43.6,48.4,243.6,191.82,148.3,194.2
#地铁客流排行榜# 12月18日（周日），北京749.24万，上海732.5万，广州691.5万，深圳415.5万，南京215.8万，武汉199.98万，成都153.19万，西安144.7万。还有长沙63.2万，郑州54.6万，苏州48.1万。,2016/12/20,12,18,周日,732.5,415.5,749.24,63.2,199.98,691.5,48.1,54.6,215.8,153.19,144.7, 
#地铁客流排行榜# 12月18日（周日），北京749.24万，上海732.5万，广州691.5万，深圳415.5万，南京2xx万，武汉199.98万，成都153.19万，西安144.7万。还有长沙63.2万，郑州54.6万，苏州48.1万。,2016/12/19,12,18,周日,732.5,415.5,749.24,63.2,199.98,691.5,48.1,54.6,199.98,153.19,144.7, 
#地铁客流排行榜# 12月17日（周六），北京813万，上海801.5万，广州720万，深圳415.5万，南京235万，武汉210.47万，成都162.37万，西安155.7万。还有长沙67.8万，郑州55.7万，苏州50万。,2016/12/18,12,17,周六,801.5,415.5,813,67.8,210.47,720,50,55.7,235,162.37,155.7, 
#地铁客流排行榜# 12月17日（周六），北京813万，上海801.5万，广州720万，深圳415.5万，南京235万，武汉210.47万，成都162.37万。还有长沙67.8万，郑州55.7万，苏州50万。,2016/12/18,12,17,周六,801.5,415.5,813,67.8,210.47,720,50,55.7,235,162.37, , 
#地铁客流排行榜# 12月16日（周五），北京1242.8万，上海1103.6万，广州779.7万，深圳465.77万，南京267.2万，武汉227.06万，重庆216.5万，成都212.76万，西安161.5万。还有长沙65.4万，郑州55万，苏州49.5万。深圳客运量创新高。,2016/12/17,12,16,周五,1103.6,465.77,1242.8,65.4,227.06,779.7,49.5,55,267.2,212.76,161.5,216.5
#地铁客流排行榜# 12月15日（周四），北京1156.38万，上海1039万，广州714万，深圳427.73万，南京232.4万，武汉202万，重庆187万，成都185.8万，西安142.4万。还有长沙55.6万，郑州46万，苏州43万。,2016/12/16,12,15,周四,1039,427.73,1156.38,55.6,202,714,43,46,232.4,185.8,142.4,187
#地铁客流排行榜# 12月14日（周三），北京1159.2万，上海1029万，广州711万，深圳426.7万，南京239万，武汉197.2万，重庆187.5万，成都184.4万，西安138万。还有长沙53万，郑州44.7万，苏州42.7万。,2016/12/15,12,14,周三,1029,426.7,1159.2,53,197.2,711,42.7,44.7,239,184.4,138,187.5
#地铁客流排行榜# 12月13日（周二），北京1152.93万，上海1000.5万，广州712.1万，深圳422万，南京224.4万，武汉194.11万，成都180.32万，西安139.7万。还有长沙52.9万，郑州44.2万，苏州38.8万。,2016/12/14,12,13,周二,1000.5,422,1152.93,52.9,194.11,712.1,38.8,44.2,224.4,180.32,139.7, 
#地铁客流排行榜# 12月12日（周一），北京1157万，上海1043.1万，广州718.8万，深圳428.64万，南京242.7万，武汉201.56万，成都190.63万，西安143.4万。还有长沙52万，郑州47.3万，苏州44.4万。,2016/12/13,12,12,周一,1043.1,428.64,1157,52,201.56,718.8,44.4,47.3,242.7,190.63,143.4, 
#地铁客流排行榜# 12月11日（周日），上海725万，北京721.85万，广州707.3万，深圳384.63万，南京216.9万，武汉193.86万，成都156.09万，西安145.7万。还有长沙59.5万，郑州50.2万，苏州48.8万。,2016/12/12,12,11,周日,725,384.63,721.85,59.5,193.86,707.3,48.8,50.2,216.9,156.09,145.7, 
#地铁客流排行榜# 12月10日（周六），上海814.8万，北京805.33万，广州740.5万，深圳406.72万，南京249.9万，武汉210.46万，成都170.22万，西安156.2万。还有长沙66.9万，郑州57.1万。,2016/12/11,12,10,周六,814.8,406.72,805.33,66.9,210.46,740.5, ,57.1,249.9,170.22,156.2, 
#地铁客流排行榜# 12月9日（周五），北京1188.12万，上海1114.6万，广州779.6万，深圳455.94万，南京275.5万，武汉223.92万，重庆217.2万，成都214.12万，西安161.6万。还有长沙64.7万，郑州56.1万，苏州49万。,2016/12/10,12,9,周五,1114.6,455.94,1188.12,64.7,223.92,779.6,49,56.1,275.5,214.12,161.6,217.2
#地铁客流排行榜# 12月9日（周五），北京1188.12万，上海1114.6万，广州779.6万，深圳455.94万，南京275.5万，武汉223.92万，重庆217.2万，成都214.12万，西安1xx万。还有长沙64.7万，郑州56.1万，苏州49万。,2016/12/10,12,9,周五,1114.6,455.94,1188.12,64.7,223.92,779.6,49,56.1,275.5,214.12,64.7,217.2
#地铁客流排行榜# 12月8日（周四），北京1128.27万，上海1043万，广州713.8万，深圳424.8万，南京241.3万，武汉199.87万，重庆196.3万，成都189.07万，西安150.9万。还有长沙55.2万，郑州45.6万，苏州43.1万。,2016/12/9,12,8,周四,1043,424.8,1128.27,55.2,199.87,713.8,43.1,45.6,241.3,189.07,150.9,196.3
#地铁客流排行榜# 12月7日（周三），北京1157.34万，上海1043万，广州707.1万，深圳422.6万，南京243.1万，武汉197.71万，重庆193.7万，成都189.1万，西安146.8万。还有长沙55.5万，郑州45.1万，苏州43.3万。,2016/12/8,12,7,周三,1043,422.6,1157.34,55.5,197.71,707.1,43.3,45.1,243.1,189.1,146.8,193.7
#地铁客流排行榜# 12月7日（周三），北京1157.34万，上海1043万，广州707.1万，深圳422.6万，南京243.1万，武汉197.71万，重庆193.7万，成都189.1万，西安146.8万。还有长沙55.5万，郑州45.1万。,2016/12/8,12,7,周三,1043,422.6,1157.34,55.5,197.71,707.1, ,45.1,243.1,189.1,146.8,193.7
#地铁客流排行榜# 12月6日（周二），北京1164.62万，上海1042.4万，广州704.4万，深圳418.41万，南京240.2万，武汉200.3万，重庆194.3万，成都189.23万，西安147万。还有长沙56.1万，郑州45.5万。,2016/12/7,12,6,周二,1042.4,418.41,1164.62,56.1,200.3,704.4, ,45.5,240.2,189.23,147,194.3
#地铁客流排行榜# 12月5日（周一），北京1167.31万，上海1042.9万，广州713.4万，深圳426.68万，南京243.9万，武汉205.47万，重庆1xx万，成都192.55万，西安148万。还有长沙59.0万，郑州47.3万。,2016/12/6,12,5,周一,1042.9,426.68,1167.31,59,205.47,713.4, ,47.3,243.9,192.55,148,192.55
#地铁客流排行榜# 12月4日（周日），北京725.87万，上海718.4万，广州713.5万，深圳410.97万，南京222.1万，武汉196.15万，重庆1xx万，西安165万，成都157.15万。还有长沙67.7万，郑州55.6万。,2016/12/5,12,4,周日,718.4,410.97,725.87,67.7,196.15,713.5, ,55.6,222.1,157.15,165,165
#地铁客流排行榜# 12月3日（周六），上海828.6万，北京797.86万，广州756.8万，深圳413.78万，南京248.9万，武汉209.57万，重庆191.4万，成都169.35万，西安169万。还有长沙64.2万，郑州56.5万。,2016/12/4,12,3,周六,828.6,413.78,797.86,64.2,209.57,756.8, ,56.5,248.9,169.35,169,191.4
#地铁客流排行榜# 12月2日（周五），北京1238.9万，上海1128万，广州799.3万，深圳459.28万，南京275.3万，武汉227.77万，重庆221万，成都211.61万，西安170万。还有长沙67.3万，郑州56.8万。,2016/12/3,12,2,周五,1128,459.28,1238.9,67.3,227.77,799.3, ,56.8,275.3,211.61,170,221
#地铁客流排行榜# 12月1日（周四），北京1167.34万，上海1057.6万，广州739.9万，深圳424.49万，南京240.4万，武汉205万，重庆1xx万，成都185.81万，西安146万。还有长沙57.3万，郑州46.9万。,2016/12/2,12,1,周四,1057.6,424.49,1167.34,57.3,205,739.9, ,46.9,240.4,185.81,146,185.81
#地铁客流排行榜# 11月30日（周三），北京1166.1万，上海1049.9万，广州724.5万，深圳427.47万，南京242万，武汉201.34万，重庆194.9万，成都187.21万，西安154万。还有长沙56.6万，郑州47万。,2016/12/1,11,30,周三,1049.9,427.47,1166.1,56.6,201.34,724.5, ,47,242,187.21,154,194.9
#地铁客流排行榜# 11月29日（周二），北京1166.32万，上海1053.2万，广州710.1万，深圳429.33万，南京239.3万，武汉199.97万，重庆192.1万，成都188.93万，西安148万。还有杭州73.1万，长沙55.3万，郑州47万。,2016/12/1,11,29,周二,1053.2,429.33,1166.32,55.3,199.97,710.1, ,47,239.3,188.93,148,192.1
#地铁客流排行榜# 11月29日（周二），北京1266.32万，上海1053.2万，广州710.1万，深圳429.33万，南京239.3万，武汉199.97万，重庆192.1万，成都188.93万，西安148万。还有杭州73.1万，长沙55.3万，郑州47万。,2016/11/30,11,29,周二,1053.2,429.33,1266.32,55.3,199.97,710.1, ,47,239.3,188.93,148,192.1
#地铁客流排行榜# 11月28日（周一），北京1280.73万，上海1051.6万，广州735.1万，深圳434.39万，南京245万，武汉206.67万，成都189.96万，西安149万。还有长沙58.1万，郑州49.9万。,2016/11/29,11,28,周一,1051.6,434.39,1280.73,58.1,206.67,735.1, ,49.9,245,189.96,149, 
#地铁客流排行榜# 11月28日（周一），北京1280.73万，上海1051.6万，广州735.1万，深圳434.39万，南京245万，武汉206.67万，成都189.96万，西安149万。还有郑州49.9万。,2016/11/29,11,28,周一,1051.6,434.39,1280.73, ,206.67,735.1, ,49.9,245,189.96,149, 
#地铁客流排行榜# 11月27日（周日），广州783.2万、北京774.26万，上海756.8万，深圳405.61万，南京240万，武汉200万，西安168万（3-39），成都164.96万。还有郑州58.4万。,2016/11/28,11,27,周日,756.8,405.61,774.26, ,200,783.2, ,58.4,240,164.96,168, 
#地铁客流排行榜# 11月26日（周六），北京805.3万，上海701.7万，广州695.3万，深圳357.27万，南京255.4万，武汉211.86万，西安180万（3-43），成都177.53万。还有郑州59.6万。,2016/11/27,11,26,周六,701.7,357.27,805.3, ,211.86,695.3, ,59.6,255.4,177.53,180, 
#地铁客流排行榜# 深圳路网客运量周五再创历史新高，其中7号线以31.5万创新高（下图为昨日下班时四线换乘站车公庙站站厅排队等待下1号线站台的客流 @地铁族_青岛区   @成都地铁运营   @车迷头条   @地铁族   @深圳微博发布厅   @深圳新闻网  ）。   ? 评论配图 ,2016/11/26, , ,下图为昨日下班时四线换乘站车公庙站站厅排队等待下1号线站台的客流 @地铁族_青岛区   @成都地铁运营   @车迷头条   @地铁族   @深圳微博发布厅   @深圳新闻网  , ,31.5, , , , , , , , , , 
#地铁客流排行榜# 11月25日（周五），北京1247.25万，上海1118.2万，广州831.7万，深圳463.91万，南京283.9万，武汉225.44万，成都213.04万，西安171万。还有郑州61.5万。深圳路网客运量再创历史新高。,2016/11/26,11,25,周五,1118.2,463.91,1247.25, ,225.44,831.7, ,61.5,283.9,213.04,171, 
#地铁客流排行榜# 11月24日（周四），北京1173.8万，上海1063.6万，广州729.5万，深圳432.35万，南京246.1万，武汉199.39万，成都185.76万，西安147万。还有郑州53.8万。,2016/11/25,11,24,周四,1063.6,432.35,1173.8, ,199.39,729.5, ,53.8,246.1,185.76,147, 
#地铁客流排行榜# 11月23日（周三），北京1169.11万，上海1041.4万，广州689.4万，深圳401.65万，南京233万，武汉195.97万，成都186.3万，西安156万。还有郑州61.7万。,2016/11/24,11,23,周三,1041.4,401.65,1169.11, ,195.97,689.4, ,61.7,233,186.3,156, 
#地铁客流排行榜# 11月22日（周二），北京地铁路网客运量1163.61万，上海地铁客运量1045.1万，广州地铁客运量671.7万，深圳地铁路网客运量394.6万，南京地铁客运量231.7万，成都地铁客运量185.92万，武汉地铁客运量185.58万，西安地铁客运量161万（3-37）。昨日郑州因下雪，地铁客流激增（下图），场面... 展开全文 c  ,2016/11/23,11,22,周二,1045.1,394.6,1163.61, ,185.58,671.7, , ,231.7,185.92,161, 
#地铁客流排行榜# 11月21日（周一），北京地铁路网客运量1187.54万，上海地铁客运量1035.6万，广州地铁客运量714.5万，深圳地铁路网客运量425.46万，南京地铁客运量238.2万，武汉地铁客运量204.21万，成都地铁客运量188万，西安地铁客运量151万（3-33）。,2016/11/22,11,21,周一,1035.6,425.46,1187.54, ,204.21,714.5, , ,238.2,188,151, 
#地铁客流排行榜# 11月20日（周日），广州地铁客运量715.3万，上海地铁客运量706.9万，北京地铁路网客运量705.53万，深圳地铁路网客运量406.65万，南京地铁客运量220.1万，武汉地铁客运量201.25万，成都地铁客运量159.91万。,2016/11/21,11,20,周日,706.9,406.65,705.53, ,201.25,715.3, , ,220.1,159.91, , 
#地铁客流排行榜# 11月19日（周六），北京地铁路网客运量852.3万，上海地铁客运量788.1万，广州地铁客运量746.8万，深圳地铁路网客运量413.63万，南京地铁客运量249.1万，武汉地铁客运量215.95万，西安地铁客运量173万，成都地铁客运量169.45万。,2016/11/20,11,19,周六,788.1,413.63,852.3, ,215.95,746.8, , ,249.1,169.45,173, 
#地铁客流排行榜# 11月18日（周五），北京地铁路网客运量1247.55万，上海地铁客运量1108万，广州地铁客运量805.1万，深圳地铁路网客运量462.74万（7-30.3、9-18.9、11-28.2），南京地铁客运量269.2万，武汉地铁客运量222.74万，成都地铁客运量208.78万，西安地铁客运量170.37万（3-37）.深圳创历史新高.,2016/11/19,11,18,周五,1108,462.74,1247.55, ,222.74,805.1, , ,269.2,208.78,170.37, 
#地铁客流排行榜# 11月17日（周四），北京地铁路网客运量1162.5万，上海地铁客运量1019.3万，广州地铁客运量713.1万，深圳地铁路网客运量419.53万，南京地铁客运量230.7万，武汉地铁客运量196.49万，成都地铁客运量184.02万。,2016/11/18,11,17,周四,1019.3,419.53,1162.5, ,196.49,713.1, , ,230.7,184.02, , 
#地铁客流排行榜# 11月16日（周三），北京地铁路网客运量1177.28万，上海地铁客运量1047.4万，广州地铁客运量709.6万，深圳地铁路网客运量428.4万，南京地铁客运量241.5万，武汉地铁客运量198.25万，成都地铁客运量187.97万，西安地铁客运量149万。,2016/11/17,11,16,周三,1047.4,428.4,1177.28, ,198.25,709.6, , ,241.5,187.97,149, 
#地铁客流排行榜# 11月16日（周三），北京地铁路网客运量1177.28万，上海地铁客运量1047.4万，广州地铁客运量709.6万，深圳地铁路网客运量428.4万，南京地铁客运量241.5万，武汉地铁客运量198.25万，成都地铁客运量187.97万。,2016/11/17,11,16,周三,1047.4,428.4,1177.28, ,198.25,709.6, , ,241.5,187.97, , 
#地铁客流排行榜# 11月15日（周二），北京地铁路网客运量1180.33万，上海地铁客运量1050.6万，广州地铁客运量710.6万，深圳地铁路网客运量417.31万，南京地铁客运量243.8万，武汉地铁客运量197.51万，成都地铁客运量187.01万，西安地铁客运量148万。,2016/11/16,11,15,周二,1050.6,417.31,1180.33, ,197.51,710.6, , ,243.8,187.01,148, 
#地铁客流排行榜# 11月14日（周一），北京地铁路网客运量1175.34万，上海地铁客运量1036万，广州地铁客运量712.4万，深圳地铁路网客运量426.83万，南京地铁客运量242.1万，武汉地铁客运量201.31万，成都地铁客运量191.01万，西安地铁客运量148万。,2016/11/15,11,14,周一,1036,426.83,1175.34, ,201.31,712.4, , ,242.1,191.01,148, 
#地铁客流排行榜# 11月13日（周日），北京地铁路网客运量743.87万，广州地铁客运量702万，上海地铁客运量691.4万，深圳地铁路网客运量395.38万，南京地铁客运量228.6万，武汉地铁客运量199.03万，西安地铁客运量172万，成都地铁客运量163.72万。,2016/11/14,11,13,周日,691.4,395.38,743.87, ,199.03,702, , ,228.6,163.72,172, 
#地铁客流排行榜# 11月12日（周六），北京地铁路网客运量836.55万，上海地铁客运量798.8万，广州地铁客运量740.7万，深圳地铁路网客运量404.62万，南京地铁客运量260.8万，武汉地铁客运量214.87万，西安地铁客运量191万（3-49.3），成都地铁客运量180.18万。西安创历史新高，其3号线开通不到一周客运量... 展开全文 c  ,2016/11/13,11,12,周六,798.8,404.62,836.55, ,214.87,740.7, , ,260.8,180.18,191, 
#地铁客流排行榜# 11月12日（周六），北京地铁路网客运量836.55万，上海地铁客运量798.8万，广州地铁客运量740.7万，深圳地铁路网客运量404.62万，南京地铁客运量260.8万，武汉地铁客运量214.87万，西安地铁客运量191万，成都地铁客运量180.18万。西安创历史新高。,2016/11/13,11,12,周六,798.8,404.62,836.55, ,214.87,740.7, , ,260.8,180.18,191, 
#地铁客流排行榜# 11月11日（周五），北京地铁路网客运量1256.34万，上海地铁客运量1139.1万，广州地铁客运量795.2万，深圳地铁路网客运量458.87万（7-29.6、9-18.1、11-27），南京地铁客运量292.1万，武汉地铁客运量243.88万，成都地铁客运量221.48万，西安地铁客运量186.26万（3-40.92）。深圳、西安... 展开全文 c  ,2016/11/12,11,11,周五,1139.1,458.87,1256.34, ,243.88,795.2, , ,292.1,221.48,186.26, 
#地铁客流排行榜# 11月10日（周四），北京地铁路网客运量1167.22万，上海地铁客运量1057.7万，广州地铁客运量702.3万，深圳地铁路网客运量407万（7-27.1、9-16.3、11-23.5），南京地铁客运量247.9万，武汉地铁客运量209.24万，成都地铁客运量191.11万。,2016/11/11,11,10,周四,1057.7,407,1167.22, ,209.24,702.3, , ,247.9,191.11, , 
#地铁客流排行榜# 11月9日（周三），北京地铁路网客运量1177.97万，上海地铁客运量1050.5万，广州地铁客运量711.7万，深圳地铁路网客运量419.98万（7-27.1、9-16.4、11-24.7），南京地铁客运量248.2万，武汉地铁客运量192.15万，成都地铁客运量187.72万，西安地铁客运量151.28万（3-34.32）。西安地铁客... 展开全文 c  ,2016/11/10,11,9,周三,1050.5,419.98,1177.97, ,192.15,711.7, , ,248.2,187.72,151.28, 
#地铁客流排行榜# 11月8日（周二），北京地铁路网客运量1183.62万，上海地铁客运量1023.8万，广州地铁客运量707.2万，深圳地铁路网客运量419.35万（7-27、9-16.3、11-24.7），南京地铁客运量238万，武汉地铁客运量194.63万，成都地铁客运量187.48万，西安地铁客运量140.66万（其3号线半日25.52）。,2016/11/9,11,8,周二,1023.8,419.35,1183.62, ,194.63,707.2, , ,238,187.48,140.66, 
#地铁客流排行榜# 11月7日（周一），北京地铁路网客运量1183.27万，上海地铁客运量1045.3万，广州地铁客运量718万，深圳地铁路网客运量425.85万（7-26.9、9-16.2、11-25.5），南京地铁客运量230.29万，武汉地铁客运量188.52万，成都地铁客运量187.03万，西安地铁客运量107.25万。,2016/11/8,11,7,周一,1045.3,425.85,1183.27, ,188.52,718, , ,230.29,187.03,107.25, 
#地铁客流排行榜# 11月6日（周日），北京地铁路网客运量777.79万，上海地铁客运量740.8万，广州地铁客运量718.9万，深圳地铁路网客运量404.49万（7-26.7、9-18.8、11-28.4），南京地铁客运量234.9万，武汉地铁客运量203.3万，成都地铁客运量161.14万，西安地铁客运量114.31万。,2016/11/7,11,6,周日,740.8,404.49,777.79, ,203.3,718.9, , ,234.9,161.14,114.31, 
#地铁客流排行榜# 11月5日（周六），北京地铁路网客运量842.5万，上海地铁客运量819.9万，广州地铁客运量762.3万，深圳地铁路网客运量417.89万（7-28、9-18.9、11-27.2），南京地铁客运量261.3万，武汉地铁客运量216.01万，成都地铁客运量176.98万，西安地铁客运量126.36万。,2016/11/6,11,5,周六,819.9,417.89,842.5, ,216.01,762.3, , ,261.3,176.98,126.36, 
