原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 9月5日（周一），北京地铁路网客运量1167.4万，上海地铁客运量1032.7万，广州地铁客运量743.9万，深圳地铁路网客运量373.24万，南京地铁客运量232.5万，武汉地铁客运量199.5万，成都地铁客运量180.55万，西安地铁客运量101.35万。,2016/9/6,9,5,周一,1032.7,373.24,1167.4, ,199.5,743.9, , ,232.5,180.55,101.35, 
#地铁客流排行榜# 9月4日（周日），北京地铁路网客运量740万，广州地铁客运量690万，上海地铁客运量672万，深圳地铁路网客运量313.8万，南京地铁客运量208万，武汉地铁客运量183万，成都地铁客运量155.4万，西安地铁客运量106.76万。,2016/9/5,9,4,周日,672,313.8,740, ,183,690, , ,208,155.4,106.76, 
#地铁客流排行榜# 9月3日（周六），北京地铁路网客运量812.4万，上海地铁客运量752万，广州地铁客运量709.9万，深圳地铁路网客运量324.76万，南京地铁客运量235.7万，武汉地铁客运量196.67万，成都地铁客运量168万，西安地铁客运量116.28万。,2016/9/4,9,3,周六,752,324.76,812.4, ,196.67,709.9, , ,235.7,168,116.28, 
#地铁客流排行榜# 9月2日（周五），北京地铁路网客运量1206.23万，上海地铁客运量1075.9万，广州地铁客运量754.2万，深圳地铁路网客运量382万，南京地铁客运量259.8万，武汉地铁客运量214.32万，成都地铁客运量198.29万，西安地铁客运量114.78万。成都地铁客运量创新高。,2016/9/3,9,2,周五,1075.9,382,1206.23, ,214.32,754.2, , ,259.8,198.29,114.78, 
#地铁客流排行榜# 9月1日（周四），北京地铁路网客运量1152.43万，上海地铁客运量1032.3万，广州地铁客运量719万，深圳地铁路网客运量368.17万，南京地铁客运量234万，武汉地铁客运量201.2万，成都地铁客运量182.2万，西安地铁客运量102.13万。,2016/9/2,9,1,周四,1032.3,368.17,1152.43, ,201.2,719, , ,234,182.2,102.13, 
#地铁客流排行榜# 8月31日（周三），北京地铁路网客运量1153.1万，上海地铁客运量1026万，广州地铁客运量720.5万，深圳地铁路网客运量380.58万，南京地铁客运量237.4万，武汉地铁客运量198.52万，成都地铁客运量182.15万，西安地铁客运量102.63万。,2016/9/1,8,31,周三,1026,380.58,1153.1, ,198.52,720.5, , ,237.4,182.15,102.63, 
#地铁客流排行榜# 8月30日（周二），北京地铁路网客运量1175.84万，上海地铁客运量1031.4万，广州地铁客运量729.4万，深圳地铁路网客运量381.25万，南京地铁客运量237.2万，武汉地铁客运量201.94万，成都地铁客运量176.8万，西安地铁客运量104.83万。,2016/8/31,8,30,周二,1031.4,381.25,1175.84, ,201.94,729.4, , ,237.2,176.8,104.83, 
#地铁客流排行榜# 8月29日（周一），北京地铁路网客运量1176万，上海地铁客运量1030万，广州地铁客运量744万，深圳地铁路网客运量384万，南京地铁客运量241万，武汉地铁客运量205.5万，成都地铁客运量178万，西安地铁客运量105.4万。,2016/8/30,8,29,周一,1030,384,1176, ,205.5,744, , ,241,178,105.4, 
#地铁客流排行榜# 8月28日（周日），北京地铁路网客运量800.46万，上海地铁客运量698万，广州地铁客运量697.9万，深圳地铁路网客运量327.25万，南京地铁客运量211.2万，武汉地铁客运量185万，成都地铁客运量130.57万，西安地铁客运量106.77万。,2016/8/29,8,28,周日,698,327.25,800.46, ,185,697.9, , ,211.2,130.57,106.77, 
#地铁客流排行榜# 8月27日（周六），北京地铁路网客运量873.8万，上海地铁客运量759.7万，广州地铁客运量712万，深圳地铁路网客运量342.7万，南京地铁客运量230万，武汉地铁客运量192.8万，成都地铁客运量142.3万，西安地铁客运量113.7万。,2016/8/28,8,27,周六,759.7,342.7,873.8, ,192.8,712, , ,230,142.3,113.7, 
