 #地铁客流排行榜# 12月25日（周五），北京地铁线网客运量为1143.34万，上海地铁客运量为1054.7万，广州地铁客运量为785.4万，深圳地铁线网客运量为336万，南京地铁客运量为273.4万，武汉地铁客运量约190万。其中上海地铁客流量创出历史新高。,2015-12-26 10:50:00 来自 华为Ascend Mate7
昨天是西方人（基督教徒）的所谓圣诞节，今天12.26，是中华民族的大救星毛主席他老人家的诞辰日，不要在西方的圣诞氛围中忘记这位伟人的诞辰，今天才更加应该是中国人的‘’圣‘’诞节！值得每个有良心的中国人永远铭记与怀念！媒体不提及我们自己提！,2015-12-26 09:43:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 12月24日（周四），北京地铁线网客运量为1147.47万，上海地铁客运量为981万，广州地铁客运量为697万，深圳地铁线网客运量为338.9万，南京地铁客运量为232.5万，武汉地铁客运量约185万，成都地铁客运量105.7万。,2015-12-26 00:03:00 来自 华为Ascend Mate7
今天是西方人（基督教徒）的所谓圣诞节，明天12.26，是中华民族的大救星毛主席他老人家的诞辰日，这才该是中国人自己的圣诞节！,2015-12-25 23:54:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 12月20日（周日），北京地铁线网客运量为717万，广州地铁客运量为664.5万，上海地铁客运量为608.6万，深圳地铁线网客运量为285.4万，南京地铁客运量为191.8万，武汉地铁客运量约140万，成都地铁客运量85万。,2015-12-21 11:37:00 来自 微博 weibo.com
 #地铁客流排行榜# 12月19日（周六），上海地铁客运量为769万，北京地铁线网客运量为764万，广州地铁客运量为697万，深圳地铁线网客运量为318万，南京地铁客运量为213万，武汉地铁客运量约157万。,2015-12-20 20:50:00 来自 华为Ascend Mate7
转发微博,2015-12-20 20:33:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 12月18日（周五），北京地铁线网客运量为1155万，上海地铁客运量为1020万，广州地铁客运量为734万，深圳地铁线网客运量为354万，南京地铁客运量为242万，武汉地铁客运量约167万，成都地铁客运量110万。,2015-12-19 15:17:00 来自 华为Ascend Mate7
// @京港地铁 : #京港连播台# 【《北京地铁十六号线项目特许协议》在香港正式签署】16号线是一条南北向骨干线路，全长约50公里，自北向南途经：北安河、西苑、国家图书馆、木樨地、达官营、丽泽商务区、丰台火车站、宛平城等29座车站，其中换乘车站12座，是北京市首条全线采用A型车8节编组的线路。,2015-11-29 11:15:00 来自 华为Ascend Mate7
一段珍贵的历史// @惠州车务段官方微博 :蒸爷。。,2015-11-29 10:10:00 来自 华为Ascend Mate7
缅怀！铭记！,2015-11-29 10:09:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 11月27日（周五），北京地铁线网客运量为1180万，上海地铁客运量为1020万，广州地铁客运量为770万，深圳地铁线网客运量为354万，南京地铁客运量为252万，武汉地铁客运量约173万，成都地铁客运量113万。,2015-11-28 09:34:00 来自 华为Ascend Mate7
转发微博,2015-11-13 07:43:00 来自 华为Ascend Mate7
转发微博,2015-11-09 11:09:00 来自 微博 weibo.com
转发微博,2015-11-07 15:53:00 来自 华为Ascend Mate7
// @环球时报 :厉害…… ,2015-11-07 15:50:00 来自 华为Ascend Mate7
渡尽劫波兄弟在;相逢一笑泯恩仇！,2015-11-07 15:39:00 来自 华为Ascend Mate7
强烈谴责没底线的媒体,2015-11-07 11:34:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 10月30日（周五），北京地铁线网客运量为1173.04万，上海地铁客运量为1008.3万，广州地铁客运量为751万，深圳地铁线网客运量为362.4万，南京地铁客运量为259.3万，武汉地铁客运量约166万，成都地铁客运量112.7万。,2015-10-31 09:51:00 来自 华为Ascend Mate7
【最不忍拒绝的请假条：快忘了老公长啥样了(图)】据 @中国交通报的报道 ，朋友圈里出现了一张令人唏嘘不已的请假条：假条内容是“快忘了老公长啥样了，我想去看看”。 （分享自  @凤凰网 ）   O 最不忍拒绝的请假条：快忘了老公长啥样了(图)  ,2015-10-27 09:13:00 来自 分享按钮
转发微博,2015-10-24 12:49:00 来自 华为Ascend Mate7
转发微博,2015-10-24 12:47:00 来自 华为Ascend Mate7
转发微博,2015-10-24 12:47:00 来自 华为Ascend Mate7
小时候 　　乡愁是一枚小小的邮票 　　我在这头 　　母亲在那头 　　长大后 　　乡愁是一张窄窄的船票 　　我在这头 　　新娘在那头 　　后来啊 　　乡愁是一方矮矮的坟墓 　　我在外头母亲在里头 　　而现在 　　乡愁是一湾浅浅的海峡 　　我在这头 　　大陆在那头,2015-10-21 10:37:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 10月3日，北京地铁线网客运量为755.2万，上海地铁客运量为694.9万，广州地铁客运量为632.9万，深圳地铁线网客运量为279.4万，南京地铁客运量为221.8万，武汉地铁客运量约153万，成都地铁客运量95.4万。,2015-10-04 12:03:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 10月2日，北京地铁线网客运量为787.3万，上海地铁客运量为733万，广州地铁客运量为687.6万，深圳地铁线网客运量为314.23万，南京地铁客运量为229.6万，武汉地铁客运量约158万，成都地铁客运量101.67万。,2015-10-04 12:01:00 来自 华为Ascend Mate7
转发微博,2015-10-03 10:45:00 来自 华为Ascend Mate7
转发微博,2015-10-02 15:29:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 10月1日（周四），北京地铁线网客运量为776万，广州地铁客运量为718.2万，上海地铁客运量605.2万，深圳地铁线网客运量为314.4万，南京地铁客运量为224.5万，武汉地铁客运量约176万，成都地铁客运量109.8万。,2015-10-02 11:22:00 来自 华为Ascend Mate7
收藏慢慢研究,2015-10-02 11:14:00 来自 华为Ascend Mate7
转发微博,2015-10-02 11:09:00 来自 华为Ascend Mate7
转发微博,2015-10-02 11:08:00 来自 华为Ascend Mate7
转发微博,2015-10-02 11:07:00 来自 华为Ascend Mate7
我刚用  @滴滴出行  了，感觉棒棒哒！叫好车再出门，不怕日晒和雨淋~再送你一张滴滴打车券，用券抵车费，省心又省钱！  O 中国人  中国行 ,2015-10-01 17:33:00 来自 滴滴出行Android
 #地铁客流排行榜# 9月30日（周三），北京地铁线网客运量为1050.77万，上海地铁客运量为923.3万，广州地铁客运量为762.3万，深圳地铁线网客运量为344.7万，南京地铁客运量为258.7万，武汉地铁客运量约195万，成都地铁客运量123.38万。,2015-10-01 09:33:00 来自 华为Ascend Mate7
转发微博,2015-09-30 07:51:00 来自 华为Ascend Mate7
转发微博,2015-09-30 07:37:00 来自 华为Ascend Mate7
转发微博,2015-09-28 00:12:00 来自 华为Ascend Mate7
转发微博,2015-09-27 10:22:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 9月25日（周五），北京地铁线网客运量为1190.2万，上海地铁客运量为1034.6万，广州地铁客运量为791.7万，深圳地铁线网客运量为361万，南京地铁客运量为245.5万，武汉地铁客运量约176万，成都地铁客运量117.87万。其中上海地铁客流创出新高，超去年12月31的最高记录1028万约6万。,2015-09-26 10:16:00 来自 华为Ascend Mate7
难得呀,2015-09-25 10:47:00 来自 华为Ascend Mate7
只转不评『梁柱：围攻我的大V们逃之夭夭，缺乏承认错误的勇气-察网中国触屏版』  O “察网中国”是由海南察网文化传媒有限公司运营... ,2015-09-25 07:15:00 来自 华为Ascend Mate7
转发微博,2015-09-25 00:08:00 来自 华为Ascend Mate7
这也算小小的调整吧,2015-09-25 00:08:00 来自 华为Ascend Mate7
// @上海地铁shmetro :【地铁爱广播】穷游上海，到这些地方会让你骄傲。,2015-09-24 07:39:00 来自 华为Ascend Mate7
转发微博,2015-09-20 22:15:00 来自 华为Ascend Mate7
转发微博,2015-09-20 10:57:00 来自 华为Ascend Mate7
深圳4号线、深圳1号线新增列车均减少了座位数量！,2015-09-09 15:34:00 来自 华为Ascend Mate7
人民永远怀念毛主席！,2015-09-09 08:19:00 来自 华为Ascend Mate7
暑期各大城市客流走势图,2015-09-06 20:40:00 来自 微博 weibo.com
【洪秀柱提两岸定位5字原则(全文)】国民党总统参选人洪秀柱上周三深夜突然宣布闭关沉思，引发各界震惊，闭关3天后，洪秀柱今上午举行记者会，强调她不会退选，并邀请民进党主席蔡英文&amp;ldquo;一起透过女性无私的良知与深厚的爱心，终结蓝绿立场 （分享自  @鳳凰網台灣站 ）   O 闭关3天后发布会 洪秀柱说···  ,2015-09-06 20:33:00 来自 分享按钮
 #分享滴滴红包抢车费#  我刚用  @滴滴打车  了，感觉棒棒哒！叫好车再出门，不怕日晒和雨淋~再送你一张滴滴打车券，用券抵车费，省心又省钱！  O 想要一呼即应？我用滴滴快车，快捷经济，分秒... ,2015-08-26 08:22:00 来自 滴滴出行Android
视乎有点道理,2015-08-19 09:29:00 来自 华为Ascend Mate7
我分享了 @环球时报  的文章   O “当代艺术”多为洗脑式欺骗 ,2015-07-28 09:15:00 来自 微博 weibo.com
 #地铁客流排行榜# 7月17日（周五），北京地铁线网客运量为1095.2万，上海地铁客运量为997.4万，广州地铁客运量为763万，深圳地铁线网客运量为360万，南京地铁客运量为223万，武汉地铁客运量约161万，成都地铁客运量106.25万。,2015-07-18 11:42:00 来自 华为Ascend Mate7
拆出部分座位是一个好办法，值得既有列车借鉴，新购列车可以直接考虑设计方案减少座位，这方面深圳地铁1号线新增的列车就是减少了一排座位。,2015-07-18 11:36:00 来自 华为Ascend Mate7
【澎湃新闻：市政厅I春运迁徙地图哪家更强：基于数据视角的点评】  O 网页链接 （分享自 @澎湃新闻 ） #我读澎湃# ,2015-07-18 10:26:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 7月15日（周三），北京地铁线网客运量为1130.4万，上海地铁客运量为976.6万，广州地铁客运量为736.3万，深圳地铁线网客运量为340.8万，南京地铁客运量为218.4万，武汉地铁客运量约137万，成都地铁客运量105.23万。,2015-07-16 11:42:00 来自 微博 weibo.com
 #地铁客流排行榜# 7月13日（周一），北京地铁线网客运量为1104.44万，上海地铁客运量为982万，广州地铁客运量为736.3万，深圳地铁线网客运量为348.13万，南京地铁客运量为229.9万，武汉地铁客运量约154万，成都地铁客运量103.17万。,2015-07-14 18:03:00 来自 微博 weibo.com
发表了一篇转载博文《[转载]我国已开通时速300公里以上高铁线路汇总表》  &#xe606; [转载]我国已开通时速300公里以上高铁线路汇... ,2015-07-13 10:02:00 来自 新浪博客
 #地铁客流排行榜# 7月12日（周日），北京地铁线网客运量为756.86万，广州地铁客运量为681.7万，上海地铁客运量为602.4万，深圳地铁线网客运量为317万，南京地铁客运量为184.5万，武汉地铁客运量约140万，成都地铁客运量82.35万。,2015-07-13 09:48:00 来自 微博 weibo.com
 #地铁客流排行榜# 7月11日（周六），北京地铁线网客运量为826.25万，上海地铁客运量为370万，广州地铁客运量为704.6万，深圳地铁线网客运量为322.37万，南京地铁客运量为186.6万，武汉地铁客运量约150万，成都地铁客运量86.24万。,2015-07-12 16:45:00 来自 华为Ascend Mate7
我分享了  &#xe606; 我国已开通时速300公里以上高铁线路汇总表 ,2015-07-12 09:59:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 7月10日（周五），北京地铁线网客运量为1162.7万，上海地铁客运量为991万，广州地铁客运量为763.5万，深圳地铁线网客运量为353.91万，南京地铁客运量为247.4万，武汉地铁客运量约168万，成都地铁客运量107.39万。,2015-07-11 10:50:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 7月3日（周五），北京地铁线网客运量为1020.2万，上海地铁客运量为978.2万，广州地铁客运量为731.5万，深圳地铁线网客运量为343.77万，南京地铁客运量为238.8万，武汉地铁客运量约167万，成都地铁客运量99.81万。,2015-07-04 13:47:00 来自 华为Ascend Mate7
 #2014年世界各国GDP排名# 国际货币基金组织于4月14日公布了2014年世界各国GDP排名，2014年全球GDP总量77.3万亿美元，美国为17.149万亿美元，位居第一；中国为10.380万亿美元，位居第二，日本为4.416万亿美元，位居第三，排名第四到第十的分别为：德国、英国、法国、巴西、意大利、印度和俄罗斯。,2015-06-26 18:47:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月19日（周五，端午小长假前最后一天），北京地铁线网客运量为1137.69万，上海地铁客运量为1028.2万，广州地铁客运量为794.2万，深圳地铁线网客运量为373.63万，南京地铁客运量为263.7万，武汉地铁客运量约194万，成都地铁客运量111.13万。跟4月30日比，其中深略多，其余城市略少。,2015-06-20 11:19:00 来自 华为Ascend Mate7
互联网的优势就是技术先进，极大得降低了整个社会的平均成本，它对所有行业的冲击从本质说都是社会前进中的问题。   O 社评：法国出租与专车司机冲突的启示 ,2015-06-20 10:49:00 来自 华为Ascend Mate7
东方发展中国家他们近两百年来反抗殖民侵略、获得民族独立的斗争只是成功了一半。近代以来，西方资本主义强国对东方传统国度的侵略战争始终是明暗两条战线，明的是凭借船坚炮利的武力入侵，暗的则是看不见硝烟的以文化价值观为核心的文明侵略战争……   O 李艳艳：话语比较视野下中国特色社会主义的文... ,2015-06-15 07:47:00 来自 华为Ascend Mate7
转发微博,2015-06-11 07:54:00 来自 华为Ascend Mate7
我分享了 @环球时报  的文章   O 社评：日本何必因亚投行矫情自辱 ,2015-06-10 08:11:00 来自 华为Ascend Mate7
// @高铁见闻 :我这篇博客是5月30日写的，两天后6月1日，泰国政府副发言人讪森少将就出来为我站台背书，公开挺我。这面子也太大了，让我诚惶诚恐   看来下次我要继续努力了  O 中国中车 ,2015-06-04 08:28:00 来自 华为Ascend Mate7
【中日在泰国的高铁对决到底是怎么回事？】日本拿下泰国高铁的新闻受到广泛关注，本来觉得是一个很清楚的新闻，但是后来发现国内媒体在报道时候都偏了十万八千里，第一，他们认为日本拿下了泰国高铁项目，第二发挥想象力说中国高铁出局了，这些媒体只能靠抄袭与发挥想象力写文章。,2015-06-04 08:23:00 来自 华为Ascend Mate7
破局,2015-05-19 07:59:00 来自 华为Ascend Mate7
我分享了 @环球时报  的文章   O 社评：广安“保路”群体事件应能避免 ,2015-05-19 07:40:00 来自 华为Ascend Mate7
// @深圳地铁集团 : 渊博好细心~棒棒哒~深圳地铁版”大家来找茬“~~,2015-05-18 11:25:00 来自 微博 weibo.com
转发微博,2015-05-18 11:25:00 来自 微博 weibo.com
在会展中心,2015-05-14 08:43:00 来自 华为Ascend Mate7
【Uber的营销创意为何能层出不穷？跟Uber中国早期员工聊了会儿】 （分享自  @凤凰财经 ）   O Uber的营销创意为何能层出不穷？跟Uber中国早...  ,2015-05-12 09:12:00 来自 分享按钮
让懂的人去做，“让听的见炮声的人做决策”！---什么时候才有这样的氛围？,2015-05-12 09:09:00 来自 微博 weibo.com
“决策”--起于利益，归于妥协。,2015-05-11 10:30:00 来自 微博 weibo.com
分享网易新闻:「地铁2号线发车间隔压至5分钟 列车由23列增至27列」   O 地铁2号线发车间隔压至5分钟 列车由23列增至2... ,2015-05-10 13:41:00 来自 网易新闻客户端
分享网易新闻:「毕业生薪酬百强出炉 中大本科生毕业5年月赚8940元」   O 毕业生薪酬百强出炉 中大本科生毕业5年月赚89... ,2015-05-10 12:04:00 来自 网易新闻客户端
转发微博,2015-05-09 12:49:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 5月2日（周六），北京地铁线网客运量为846.08万，广州地铁客运量为749.7万，上海地铁客运量671.5万，深圳地铁线网客运量为351.25万，南京地铁客运量为195.2万，武汉地铁客运量约179万，成都地铁客运量97.5万.,2015-05-03 13:41:00 来自 华为Ascend Mate7
转发微博,2015-05-02 13:46:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 5月1日（周五），上海地铁客运量为868.9万，广州地铁客运量为854.3万，北京地铁线网客运量827.5万，深圳地铁线网客运量为391.59万，南京地铁客运量为273.2万，武汉地铁客运量约176万，成都地铁客运量111.6万.,2015-05-02 10:40:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 4月30日（周四），北京地铁线网客运量为1210.54万，上海地铁客运量为1028.7万，广州地铁客运量为810万，深圳地铁线网客运量为370.2万，南京地铁客运量为270万，武汉地铁客运量约206万，西安地铁客运量约125.5万，成都地铁客运量118.8万，其中北京、上海地铁客运量创历史新高。,2015-05-01 18:07:00 来自 华为Ascend Mate7
  O 国家铁路局发布2014年铁道统计公报 ,2015-05-01 17:34:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 4月30日（周四），北京地铁线网客运量为……万，上海地铁客运量为1028.7万，广州地铁客运量为810万，深圳地铁线网客运量为370.2万，南京地铁客运量为270万，武汉地铁客运量约206万，西安地铁客运量约125.5万，成都地铁客运量118.8万，其中上海地铁客运量超去年12.31客流，创历史新高。,2015-05-01 12:35:00 来自 华为Ascend Mate7
不因孤独而沉沦，应因孤独而升华！,2015-04-29 07:39:00 来自 华为Ascend Mate7
// @华夏-军团 :回复 @戴旭网络义勇军贰师 :！// @戴旭网络义勇军贰师 :历史虚无主义实质是历史颠覆主义，把你曾经的史实彻底颠覆，编织成他们所需要的剧情，即欲亡其国，先去其史。,2015-04-28 21:38:00 来自 华为Ascend Mate7
牛人一个！,2015-04-23 11:25:00 来自 华为Ascend Mate7
转发微博,2015-04-23 11:25:00 来自 华为Ascend Mate7
中国文化是世界诸伟大文化中唯一的非宗教性文化。为人的准则通过长辈教诲、神话传说、寓言故事、民间戏剧等，悄然潜入头脑，终生难以磨灭，形成不虑而知，不学而能的良知。这就是中国人道德教育的来源。两千年来，中国人没有宗教信仰传统，却同样拥有天经地义的生命准则   O 学者：德育切不可“去中国化” ,2015-04-23 07:43:00 来自 华为Ascend Mate7
我分享了 @环球时报  的文章   O 社评：言论自由与国家安全决不能对立 ,2015-04-23 07:34:00 来自 华为Ascend Mate7
我分享了 @李艳艳  的文章   O 李艳艳：谁可当这时代英雄？ ,2015-04-23 07:15:00 来自 华为Ascend Mate7
我分享了 @环球时报  的文章   O 诋毁邱少云的那帮人，既狂又二 ,2015-04-20 08:28:00 来自 华为Ascend Mate7
外媒：日本冲绳知事访华时对李克强提及琉球王国   O 外媒：日本冲绳知事访华时对李克强提及琉球王国   @凤凰新闻客户端 ,2015-04-16 07:40:00 来自 凤凰新闻
文章写的不错，观点有也想到了一些，但是概括总结不出这么精炼的句子   O 社评：希拉里参选与躺枪的中国 ,2015-04-15 07:53:00 来自 华为Ascend Mate7
【澎湃新闻：市政厅I轨道交通的PPP模式怎么做？看深圳的探索】  O 网页链接 （分享自 @澎湃新闻 ）,2015-04-09 07:57:00 来自 华为Ascend Mate7
【澎湃新闻：市政厅I香港地铁建设运营，如何与城市发展共赢】  O 网页链接 （分享自 @澎湃新闻 ）,2015-04-09 07:56:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 4月5日（周日），北京地铁线网客运量为785.66万人次，广州地铁线网客运量667万人次，上海地铁客运量为648.4万人次，深圳地铁线网客运量为330万人次，南京地铁客运量为183.4万人次，武汉地铁客运量约124万人次（出行量99.21），成都地铁客运量91.33万人次。,2015-04-06 12:16:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 4月4日（周六），北京地铁线网客运量为853.58万人次，上海地铁客运量为717.1万人次，广州地铁客运量为687.5万人次，深圳地铁线网客运量为320万人次，南京地铁客运量为226.5万人次，武汉地铁客运量约160万人次（出行量124.79），成都地铁客运量99.7万人次。,2015-04-05 18:03:00 来自 华为Ascend Mate7
转发微博,2015-04-05 11:18:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 4月3日（周五），北京地铁线网客运量为1153.29万人次，上海地铁客运量为992.8万人次，广州地铁客运量为756.1万人次，深圳地铁线网客运量为344.3万人次，南京地铁客运量为251.7万人次，武汉地铁客运量149.24万人次，成都地铁客运量112万人次。,2015-04-04 10:40:00 来自 华为Ascend Mate7
 #地铁客流排行榜#  春节各大城市客流走势图如下：,2015-04-03 12:46:00 来自 
 #地铁客流排行榜#  4月2日(周四)，北京地铁线网客运量约为1016万人次，上海地铁客运量为937.1万人次，广州地铁客运量为653.5万人次，深圳地铁线网客运量为307万人次，南京地铁客运量为194.4万人次。武汉地铁115.2万人次，成都地铁89.7万人次。,2015-04-03 12:39:00 来自 
【马英九在台北第五次遥祭黄帝陵】中华民族传统节日清明节来临之际，台湾当局领导人马英九4月2日率众在台北遥祭黄帝陵。 （分享自  @鳳凰網台灣站 ）   O 马英九在台北第五次遥祭黄帝陵  ,2015-04-03 09:03:00 来自 分享按钮
深圳地铁三期新增列车首列车154在1号线运营，车厢动态地图作了改善，信息更加丰富与直观了！为深圳地铁点赞  ！,2015-04-03 08:22:00 来自 华为Ascend Mate7
【媒体：有人将深圳书记任命视为深圳直辖信号 不成立】对于深圳市而言，由省委副书记兼任市委书记是常态。新世纪以来，曾以广东省委副书记身份兼任深圳市委书记的，此前就有张高丽、黄丽满、刘玉浦三位。从这个角度上来看，有人将深圳市委书记由广东省委副 （分享自  @凤凰网 ）   O 网页链接  ,2015-03-27 09:29:00 来自 分享按钮
2014年中国内地城市GDP、中国内地省市GDP,2015-03-19 19:59:00 来自 微博 weibo.com
2014年中国内地主要城市地方财政预算收入排行榜,2015-03-19 19:57:00 来自 微博 weibo.com
 #啪啪升级了#  文字变图片，随时分享指尖心情；新增音乐榜，手机一点轻松发布。互动频道刷不停，有声节目更丰富！多种声音滤镜，方言、萌物乐翻天。啪啪4.2，图片声音更精彩！你也来一起玩转啪啪吧&gt;&gt;  O 网页链接 ,2015-03-09 10:58:00 来自 啪啪
转发微博,2015-03-06 10:04:00 来自 华为Ascend Mate7
转发微博,2015-03-04 08:57:00 来自 微博 weibo.com
转发微博,2015-02-28 11:06:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月26日(周四，年初八)，北京地铁线网客运量为725.3万人次，上海地铁客运量为694.3万人次，广州地铁客运量为507.3万人次，深圳地铁线网客运量为213.3万人次，南京地铁客运量为128.3万人次。武汉地铁104.44万人次，成都地铁82.92万人次。均低于但正在逐步恢复正常工作日客流水平。,2015-02-27 11:56:00 来自 华为Ascend Mate7
转发微博,2015-02-25 18:27:00 来自 华为Ascend Mate7
转发微博,2015-02-25 18:26:00 来自 华为Ascend Mate7
我分享了 @人民铁道网  的文章   O 春运大量客车是如何加开的？ ,2015-02-25 18:25:00 来自 华为Ascend Mate7
转发微博,2015-02-25 18:22:00 来自 华为Ascend Mate7
转发微博,2015-02-25 18:21:00 来自 华为Ascend Mate7
 #丁俊晖的红包# 抢红包图的就是个吉利！ 我在丁俊晖 的粉丝红包中抽到了 @快的打车  提供的“快的打车6元红包”，你也快来试试手气！  O 丁俊晖 的红包 ,2015-02-19 12:04:00 来自 粉丝红包
 #地铁客流排行榜# 2月18日(除夕)，上海地铁客运量为274.8万人次，广州地铁客运量为250.4万人次，北京地铁线网客运量176.7万人次，深圳地铁线网客运量为82万人次，武汉地铁38.46万人次，南京地铁客运量37.9万人次，成都地铁24.59万人次。全都上演空城计，预计均创本年度客流最底点，初一开始触底反弹！,2015-02-19 09:57:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月17日(廿二十九)，上海地铁客运量为488.5万人次，北京地铁线网客运量378.27万人次，广州地铁客运量为366.8万人次，深圳地铁线网客运量为130.5万人次，南京地铁客运量为78.4万人次。武汉地铁71万人次，成都地铁49.16万人次。全都上演空城计！,2015-02-18 10:40:00 来自 华为Ascend Mate7
【澎湃新闻：中纪委网站密集点赞雍正：对贪官懒官高压，对忠臣清官呵护】  O 网页链接 （分享自 @澎湃新闻 ）,2015-02-18 09:27:00 来自 华为Ascend Mate7
当下中国大学首先要服务于民族复兴、国家富强，要培养爱国的一流人才，要提供可推动社会发展的科技创新，以及先进积极的思想观念，而不是一味标榜独立性和思想自由，传播、生产怨气甚至戾气???   O 走出西方和民国情结看北大 ,2015-02-17 22:27:00 来自 华为Ascend Mate7
手机支付宝应该不受影响,2015-02-16 14:36:00 来自 华为Ascend Mate7
转发微博,2015-02-15 08:16:00 来自 华为Ascend Mate7
为方便广大深圳建设者节前顺利返乡，节后平安返回工作岗位，深圳地铁2.14、2.15均延长运营1小时。节后初一、初五、初六也均延长运营1小时。,2015-02-14 12:30:00 来自 华为Ascend Mate7
 #地铁客流排行榜# ,2015-02-12 12:30:00 来自 微博 weibo.com
北京地铁1号线没有屏蔽门,2015-02-12 09:41:00 来自 微博 weibo.com
【习近平的治国新方略：重塑央地关系】这几天，两个新闻，一个被热炒，一个却被淹没在茫茫的文字之中。前者是县以下公务员职务和职级并行，这个问题自去年深改组以后，就一直被热议。如今全文虽然没有公布，但总算是大势已定了。 （分享自  @凤凰网 ）   O 习近平的治国新方略：重塑央地关系  ,2015-02-07 12:39:00 来自 分享按钮
我分享了 @环球时报  的文章   O 社评：希腊不知轻重，中国如何接招 ,2015-01-30 08:10:00 来自 荣耀3X
 #地铁客流排行榜# 1月22日(周四)，北京地铁线网客运量为943.73万人次，上海地铁客运量为862.4万人次，广州地铁客运量为632.7万人次，深圳地铁线网客运量为291万人次，南京地铁客运量为146.3万人次。武汉地铁113.65万人次，成都地铁85.63万人次。,2015-01-23 10:02:00 来自 微博 weibo.com
2014年12月28日，深圳地铁运营开通十周年，安全运营3652天，运营里程5.2亿车公里，开行车次310万次，运送乘客33亿人次，全网列车正点率99.85%，全网列车兑现率99.92%，地铁日均客流量从15万人次增长到237万人次（不含港铁4号线）。,2015-01-23 09:49:00 来自 微博 weibo.com
 #地铁客流排行榜# 1月20日(周二)，北京地铁线网客运量为940.16万人次，上海地铁客运量为868.6万人次，广州地铁客运量为633.8万人次，深圳地铁线网客运量为292.37万人次，南京地铁客运量为146.5万人次。武汉地铁114.57万人次，成都地铁88.44万人次。,2015-01-21 17:12:00 来自 微博 weibo.com
真正关心民生// @昆明轨道交通集团有限公司 : 习大大关心换乘方不方便，距离远不远。,2015-01-21 17:07:00 来自 微博 weibo.com
// @港铁深圳 : 赣深客运专线铁路将按照350公里时速标准建设，争取在今年立项开工建设。未来深圳高铁至赣州只要2个小时，到南昌的时间也将缩短为3个小时。,2015-01-21 17:05:00 来自 微博 weibo.com
 #地铁客流排行榜# 1月19日(周一)，北京地铁线网客运量为947.1万人次，上海地铁客运量为868.5万人次，广州地铁客运量为639.9万人次，深圳地铁线网客运量为296.27万人次，南京地铁客运量为146.4万人次。武汉地铁115.91万人次，成都地铁88.75万人次。,2015-01-20 09:25:00 来自 微博 weibo.com
 #地铁客流排行榜# 1月18日(周曰)，广州地铁客运量为605.6万人次，北京地铁线网客运量为604.5万人次，上海地铁客运量为593万人次，深圳地铁线网客运量为290.1万人次，南京地铁客运量为122.9万人次。武汉地铁109.2万人次，成都地铁76.33万人次。,2015-01-19 21:25:00 来自 荣耀3X
 #地铁客流排行榜# 1月17日(周六)，北京地铁线网客运量为651.9万人次，上海地铁客运量为647.1万人次，广州地铁客运量为620.9万人次，深圳地铁线网客运量为289.5万人次，南京地铁客运量为136.6万人次。武汉地铁116.32万人次，成都地铁78.3万人次。,2015-01-19 21:21:00 来自 荣耀3X
 #地铁客流排行榜# 1月16日(周)，北京地铁线网客运量为982.3万人次，上海地铁客运量为907.9万人次，广州地铁客运量为685.1万人次，深圳地铁线网客运量为307万人次，南京地铁客运量为160.4万人次。武汉地铁124.25万人次，成都地铁97.4万人次。,2015-01-17 14:14:00 来自 荣耀3X
 #地铁客流排行榜# 1月15日(周四)，北京地铁线网客运量为908.68万人次，上海地铁客运量为855.9万人次，广州地铁客运量为635.6万人次，深圳地铁线网客运量为292万人次，南京地铁客运量为145.9万人次。武汉地铁115.67万人次，成都地铁87.92万人次。,2015-01-16 18:26:00 来自 荣耀3X
北京上海的地铁大概是因为线网太多了，区域性重大赛事活动延长运营加开列车通常只在本线进行，没考虑全网的换乘问题，深圳现行向做法是全网同步延长，以便同步换乘，以后线网多了也可以釆取北上的做法，以便减少运力浪费，在方便换乘与减少浪费之间找一个平衡点。,2015-01-16 18:10:00 来自 荣耀3X
转发微博,2015-01-16 17:59:00 来自 荣耀3X
