 #地铁客流排行# 3月11日（周五），北京地铁1209万人次，上海地铁1116万人次，广州地铁781.9万人次，深圳361.5万人次，南京地铁268万人次，成都地铁155.6万人次，西安地铁114.5万人次。北京上海客流创出历史新高。,2016-03-12 12:21:00 来自 华为Ascend Mate7
// @一句心情签名 :学习了 ,2016-03-12 07:46:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 3月9日（周三），北京地铁路网客运量为1139.37万，上海地铁客运量为1002.3万，广州地铁客运量为752.7万， 深圳地铁路网客运量331.62万，南京地铁客运量为224.9万，武汉地铁客运量为181.62万，成都地铁客运量为128.63万。,2016-03-10 09:52:00 来自 微博 weibo.com
【独家策划：中国高铁不仅要修到台湾，更要修到全世界】8日，“十三五”规划纲要草案提出将建设北京至台北高速铁路通道，部分台湾人士认为高铁是统战策略。不要太傲娇好不好，中国的高铁早就修到全世界了……那么中国高铁走出去的优势有哪些？ 高铁出海有了 （分享自  @凤凰网 ）   O 凤凰深度策划：中国高铁不仅要修到台湾，更要... ,2016-03-09 14:26:00 来自 分享按钮
 #地铁客流排行榜# 3月8日（周二），北京地铁路网客运量为1161.48万，上海地铁客运量为1001万，广州地铁客运量为752.7万， 深圳地铁路网客运量372.7万，南京地铁客运量为212.7万，武汉地铁客运量为181.88万，成都地铁客运量为142.25万。昨日是三八节，广深客流上升较大，能说明什么？,2016-03-09 09:57:00 来自 微博 weibo.com
 #地铁客流排行榜# 3月7日（周一），北京地铁路网客运量为1140.03万，上海地铁客运量为1030.9万，广州地铁客运量为724.6万， 深圳地铁路网客运量355.6万，南京地铁客运量为234.5万，武汉地铁客运量为198.6万，成都地铁客运量为137.97万。,2016-03-08 10:39:00 来自 华为Ascend Mate7
【年终奖多1元税或增上万！代表建议单设算法】 （分享自  @凤凰网 ）   O 年终奖多1元税或增上万！代表建议单设算法 ,2016-03-08 09:13:00 来自 分享按钮
 #地铁客流排行榜# 3月6日（周日），北京地铁路网客运量为752.74万，广州地铁客运量为728.9万，上海地铁客运量为718.9万， 深圳地铁路网客运量317.64万，南京地铁客运量为227.9万，武汉地铁客运量为203.7万，成都地铁客运量为119.61万。,2016-03-07 09:32:00 来自 微博 weibo.com
 #地铁客流排行榜# 3月5日（正月廿七，周六），北京地铁路网客运量为814.11万，上海地铁客运量为811.7万，广州地铁客运量为771.8万， 深圳地铁路网客运量305.87万，南京地铁客运量为261.9万，武汉地铁客运量为211.76万，成都地铁客运量为130.41万。,2016-03-06 13:06:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 3月4日（正月廿六，周五），北京地铁路网客运量为1200.11万，上海地铁客运量为1082.6万，广州地铁客运量为800.7万， 深圳地铁路网客运量370.47万，南京地铁客运量为254.5万，武汉地铁客运量为219.15万，成都地铁客运量为156.29万。北上等城客流超或逼近历史新高。,2016-03-05 09:45:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 3月3日（正月廿五，周四），北京地铁路网客运量为1130万，上海地铁客运量为1025.3万，广州地铁客运量为734.2万， 深圳地铁路网客运量323.98万，南京地铁客运量为226.3万，武汉地铁客运量为194.17万，成都地铁客运量为139.57万。,2016-03-04 11:00:00 来自 微博 weibo.com
